match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
31,4/18/21,H,Lorenzo Insigne,SSC Napoli,Inter,1,1:1,,,90'
32,4/22/21,H,Lorenzo Insigne,SSC Napoli,Lazio,6,5:2,2,,90'
33,4/26/21,A,Lorenzo Insigne,SSC Napoli,Torino,17,0:2,,,85'
34,5/2/21,H,Lorenzo Insigne,SSC Napoli,Cagliari Calcio,16,1:1,,1,90'
35,5/8/21,A,Lorenzo Insigne,SSC Napoli,Spezia Calcio,15,1:4,,1,90'
36,5/11/21,H,Lorenzo Insigne,SSC Napoli,Udinese Calcio,13,5:1,1,,90'
37,5/16/21,A,Lorenzo Insigne,SSC Napoli,Fiorentina,14,0:2,1,,90'
38,5/23/21,H,Lorenzo Insigne,SSC Napoli,Hellas Verona,10,1:1,,,90'
2,9/26/20,H,Lautaro Martínez,Inter Milan,Fiorentina,14,4:3,1,1,90'
1,9/30/20,A,Lautaro Martínez,Inter Milan,Benevento,18,2:5,1,,25'
3,10/4/20,A,Lautaro Martínez,Inter Milan,Lazio,6,1:1,1,,79'
4,10/17/20,H,Lautaro Martínez,Inter Milan,AC Milan,2,1:2,,,90'
5,10/24/20,A,Lautaro Martínez,Inter Milan,Genoa,11,0:2,,,72'
6,10/31/20,H,Lautaro Martínez,Inter Milan,Parma,20,2:2,,,90'
7,11/8/20,A,Lautaro Martínez,Inter Milan,Atalanta BC,3,1:1,1,,74'
8,11/22/20,H,Lautaro Martínez,Inter Milan,Torino,17,4:2,1,,25'
9,11/28/20,A,Lautaro Martínez,Inter Milan,Sassuolo,8,0:3,,1,79'
10,12/5/20,H,Lautaro Martínez,Inter Milan,Bologna,12,3:1,,,19'
11,12/13/20,A,Lautaro Martínez,Inter Milan,Cagliari Calcio,16,1:3,,1,18'
12,12/16/20,H,Lautaro Martínez,Inter Milan,SSC Napoli,5,1:0,,,77'
13,12/20/20,H,Lautaro Martínez,Inter Milan,Spezia Calcio,15,2:1,,1,90'
14,12/23/20,A,Lautaro Martínez,Inter Milan,Hellas Verona,10,1:2,1,,87'
15,1/3/21,H,Lautaro Martínez,Inter Milan,Crotone,19,6:2,3,,90'
16,1/6/21,A,Lautaro Martínez,Inter Milan,Sampdoria,9,2:1,,,90'
17,1/10/21,A,Lautaro Martínez,Inter Milan,AS Roma,7,2:2,,,77'
18,1/17/21,H,Lautaro Martínez,Inter Milan,Juventus,4,2:0,,,86'
19,1/23/21,A,Lautaro Martínez,Inter Milan,Udinese Calcio,13,0:0,,,70'
20,1/30/21,H,Lautaro Martínez,Inter Milan,Benevento,18,4:0,1,1,74'
21,2/5/21,A,Lautaro Martínez,Inter Milan,Fiorentina,14,0:2,,,29'
22,2/14/21,H,Lautaro Martínez,Inter Milan,Lazio,6,3:1,1,1,78'
23,2/21/21,A,Lautaro Martínez,Inter Milan,AC Milan,2,0:3,2,,78'
24,2/28/21,H,Lautaro Martínez,Inter Milan,Genoa,11,3:0,,1,76'
25,3/4/21,A,Lautaro Martínez,Inter Milan,Parma,20,1:2,,,15'
26,3/8/21,H,Lautaro Martínez,Inter Milan,Atalanta BC,3,1:0,,,77'
27,3/14/21,A,Lautaro Martínez,Inter Milan,Torino,17,1:2,1,1,89'
29,4/3/21,A,Lautaro Martínez,Inter Milan,Bologna,12,0:1,,,71'
28,4/7/21,H,Lautaro Martínez,Inter Milan,Sassuolo,8,2:1,1,,77'
30,4/11/21,H,Lautaro Martínez,Inter Milan,Cagliari Calcio,16,1:0,,,20'
31,4/18/21,A,Lautaro Martínez,Inter Milan,SSC Napoli,5,1:1,,,75'
32,4/21/21,A,Lautaro Martínez,Inter Milan,Spezia Calcio,15,1:1,,,90'
33,4/25/21,H,Lautaro Martínez,Inter Milan,Hellas Verona,10,1:0,,,72'
34,5/1/21,A,Lautaro Martínez,Inter Milan,Crotone,19,0:2,,,65'
35,5/8/21,H,Lautaro Martínez,Inter Milan,Sampdoria,9,5:1,1,,73'
36,5/12/21,H,Lautaro Martínez,Inter Milan,AS Roma,7,3:1,,,42'
37,5/15/21,A,Lautaro Martínez,Inter Milan,Juventus,4,3:2,,1,90'
38,5/23/21,H,Lautaro Martínez,Inter Milan,Udinese Calcio,13,5:1,1,1,57'
1,9/20/20,H,Domenico Berardi,US Sassuolo,Cagliari Calcio,16,1:1,,,90'
2,9/27/20,A,Domenico Berardi,US Sassuolo,Spezia Calcio,15,1:4,1,,87'
3,10/3/20,H,Domenico Berardi,US Sassuolo,Crotone,19,4:1,1,1,90'
4,10/18/20,A,Domenico Berardi,US Sassuolo,Bologna,12,3:4,1,,90'
5,10/23/20,H,Domenico Berardi,US Sassuolo,Torino,17,3:3,,1,90'
7,11/6/20,H,Domenico Berardi,US Sassuolo,Udinese Calcio,13,0:0,,,90'
8,11/22/20,A,Domenico Berardi,US Sassuolo,Hellas Verona,10,0:2,1,1,90'
9,11/28/20,H,Domenico Berardi,US Sassuolo,Inter,1,0:3,,,90'
10,12/6/20,A,Domenico Berardi,US Sassuolo,AS Roma,7,0:0,,,90'
11,12/11/20,H,Domenico Berardi,US Sassuolo,Benevento,18,1:0,1,,86'
12,12/16/20,A,Domenico Berardi,US Sassuolo,Fiorentina,14,1:1,,1,90'
13,12/20/20,H,Domenico Berardi,US Sassuolo,AC Milan,2,1:2,1,,90'
14,12/23/20,A,Domenico Berardi,US Sassuolo,Sampdoria,9,2:3,1,,87'
15,1/3/21,A,Domenico Berardi,US Sassuolo,Atalanta BC,3,5:1,,,84'
16,1/6/21,H,Domenico Berardi,US Sassuolo,Genoa,11,2:1,,,35'
21,2/6/21,H,Domenico Berardi,US Sassuolo,Spezia Calcio,15,1:2,,,26'
22,2/14/21,A,Domenico Berardi,US Sassuolo,Crotone,19,1:2,1,,88'
23,2/20/21,H,Domenico Berardi,US Sassuolo,Bologna,12,1:1,,,90'
25,3/3/21,H,Domenico Berardi,US Sassuolo,SSC Napoli,5,3:3,1,1,85'
