match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
32,5/8/21,H,Wout Weghorst,VfL Wolfsburg,Union Berlin,7,3:0,,,90'
33,5/16/21,A,Wout Weghorst,VfL Wolfsburg,RB Leipzig,2,2:2,,,90'
34,5/22/21,H,Wout Weghorst,VfL Wolfsburg,1.FSV Mainz 05,12,2:3,,1,90'
1,9/19/20,A,Andrej Kramaric,TSG 1899 Hoffenheim,1. FC Köln,16,2:3,3,,90'
2,9/27/20,H,Andrej Kramaric,TSG 1899 Hoffenheim,FC Bayern,1,4:1,2,,90'
3,10/3/20,A,Andrej Kramaric,TSG 1899 Hoffenheim,E. Frankfurt,5,2:1,1,,90'
8,11/21/20,H,Andrej Kramaric,TSG 1899 Hoffenheim,VfB Stuttgart,9,3:3,1,1,90'
9,11/29/20,A,Andrej Kramaric,TSG 1899 Hoffenheim,1.FSV Mainz 05,12,1:1,,,90'
10,12/7/20,H,Andrej Kramaric,TSG 1899 Hoffenheim,FC Augsburg,13,3:1,,1,90'
11,12/13/20,A,Andrej Kramaric,TSG 1899 Hoffenheim,Bay. Leverkusen,6,4:1,,,76'
12,12/16/20,H,Andrej Kramaric,TSG 1899 Hoffenheim,RB Leipzig,2,0:1,,,90'
13,12/19/20,A,Andrej Kramaric,TSG 1899 Hoffenheim,Bor. M'gladbach,8,1:2,1,,90'
14,1/2/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,SC Freiburg,10,1:3,,,90'
15,1/9/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,FC Schalke 04,18,4:0,,,90'
16,1/16/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,Arm. Bielefeld,15,0:0,,,90'
17,1/19/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,Hertha BSC,14,0:3,2,,90'
18,1/24/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,1. FC Köln,16,3:0,2,,82'
19,1/30/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,FC Bayern,1,4:1,1,,90'
20,2/7/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,E. Frankfurt,5,1:3,,1,90'
22,2/21/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,Werder Bremen,17,4:0,,,29'
23,2/28/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,Union Berlin,7,1:1,,1,90'
24,3/6/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,VfL Wolfsburg,4,2:1,1,,77'
25,3/14/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,VfB Stuttgart,9,2:0,,,90'
26,3/21/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,1.FSV Mainz 05,12,1:2,,,90'
28,4/12/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,Bay. Leverkusen,6,0:0,,,52'
29,4/16/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,RB Leipzig,2,0:0,,,90'
30,4/21/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,Bor. M'gladbach,8,3:2,2,,90'
31,4/24/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,SC Freiburg,10,1:1,1,,90'
32,5/8/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,FC Schalke 04,18,4:2,1,2,90'
33,5/15/21,A,Andrej Kramaric,TSG 1899 Hoffenheim,Arm. Bielefeld,15,1:1,1,,90'
34,5/22/21,H,Andrej Kramaric,TSG 1899 Hoffenheim,Hertha BSC,14,2:1,1,,90'
1,9/19/20,H,Sasa Kalajdzic,VfB Stuttgart,SC Freiburg,10,2:3,1,,25'
2,9/26/20,A,Sasa Kalajdzic,VfB Stuttgart,1.FSV Mainz 05,12,1:4,1,1,87'
3,10/3/20,H,Sasa Kalajdzic,VfB Stuttgart,Bay. Leverkusen,6,1:1,1,,90'
4,10/17/20,A,Sasa Kalajdzic,VfB Stuttgart,Hertha BSC,14,0:2,,,87'
5,10/23/20,H,Sasa Kalajdzic,VfB Stuttgart,1. FC Köln,16,1:1,,1,74'
6,10/30/20,A,Sasa Kalajdzic,VfB Stuttgart,FC Schalke 04,18,1:1,,,45'
7,11/7/20,H,Sasa Kalajdzic,VfB Stuttgart,E. Frankfurt,5,2:2,,,5'
8,11/21/20,A,Sasa Kalajdzic,VfB Stuttgart,TSG Hoffenheim,11,3:3,,1,58'
9,11/28/20,H,Sasa Kalajdzic,VfB Stuttgart,FC Bayern,1,1:3,,,14'
10,12/6/20,A,Sasa Kalajdzic,VfB Stuttgart,Werder Bremen,17,1:2,,,59'
12,12/15/20,H,Sasa Kalajdzic,VfB Stuttgart,Union Berlin,7,2:2,2,,10'
13,12/20/20,A,Sasa Kalajdzic,VfB Stuttgart,VfL Wolfsburg,4,1:0,,,17'
14,1/2/21,H,Sasa Kalajdzic,VfB Stuttgart,RB Leipzig,2,0:1,,,58'
15,1/10/21,A,Sasa Kalajdzic,VfB Stuttgart,FC Augsburg,13,1:4,,,4'
16,1/16/21,H,Sasa Kalajdzic,VfB Stuttgart,Bor. M'gladbach,8,2:2,,1,34'
17,1/20/21,A,Sasa Kalajdzic,VfB Stuttgart,Arm. Bielefeld,15,3:0,,,90'
18,1/23/21,A,Sasa Kalajdzic,VfB Stuttgart,SC Freiburg,10,2:1,,,22'
19,1/29/21,H,Sasa Kalajdzic,VfB Stuttgart,1.FSV Mainz 05,12,2:0,1,,90'
20,2/6/21,A,Sasa Kalajdzic,VfB Stuttgart,Bay. Leverkusen,6,5:2,2,,68'
