player,team,team_position,opponent,opponent_position,goals,assists
José Luis Morales,CA Osasuna,11,CA Osasuna,11,1,1
José Luis Morales,Sevilla FC,4,Sevilla FC,4,,
José Luis Morales,Real Madrid,2,Real Madrid,2,,
José Luis Morales,Athletic,10,Athletic,10,,
José Luis Morales,Celta de Vigo,8,Celta de Vigo,8,,
José Luis Morales,Granada CF,9,Granada CF,9,,
José Luis Morales,Alavés,16,Alavés,16,1,
José Luis Morales,Elche CF,17,Elche CF,17,,
José Luis Morales,Real Valladolid,19,Real Valladolid,19,,
José Luis Morales,Getafe,15,Getafe,15,,
José Luis Morales,FC Barcelona,3,FC Barcelona,3,,
José Luis Morales,Real Sociedad,5,Real Sociedad,5,,
José Luis Morales,SD Huesca,18,SD Huesca,18,,
José Luis Morales,Real Betis,6,Real Betis,6,2,1
José Luis Morales,Villarreal,7,Villarreal,7,,
José Luis Morales,SD Eibar,20,SD Eibar,20,1,1
José Luis Morales,Cádiz CF,12,Cádiz CF,12,,
José Luis Morales,Real Valladolid,19,Real Valladolid,19,,
José Luis Morales,Real Madrid,2,Real Madrid,2,1,
José Luis Morales,Granada CF,9,Granada CF,9,2,
José Luis Morales,CA Osasuna,11,CA Osasuna,11,,
José Luis Morales,Atlético Madrid,1,Atlético Madrid,1,,
José Luis Morales,Atlético Madrid,1,Atlético Madrid,1,,1
José Luis Morales,Athletic,10,Athletic,10,,
José Luis Morales,Real Sociedad,5,Real Sociedad,5,,
José Luis Morales,Valencia,13,Valencia,13,,
José Luis Morales,Real Betis,6,Real Betis,6,,
José Luis Morales,SD Huesca,18,SD Huesca,18,,
José Luis Morales,SD Eibar,20,SD Eibar,20,,
José Luis Morales,Villarreal,7,Villarreal,7,,
José Luis Morales,Sevilla FC,4,Sevilla FC,4,,
José Luis Morales,Elche CF,17,Elche CF,17,,
José Luis Morales,Celta de Vigo,8,Celta de Vigo,8,,
José Luis Morales,Alavés,16,Alavés,16,2,
José Luis Morales,FC Barcelona,3,FC Barcelona,3,1,
José Luis Morales,Getafe,15,Getafe,15,,
José Luis Morales,Cádiz CF,12,Cádiz CF,12,,
Rafa Mir,Villarreal,7,Villarreal,7,,
Rafa Mir,Cádiz CF,12,Cádiz CF,12,,
Rafa Mir,Valencia,13,Valencia,13,,
Rafa Mir,Atlético Madrid,1,Atlético Madrid,1,,
Rafa Mir,Elche CF,17,Elche CF,17,,
Rafa Mir,Real Valladolid,19,Real Valladolid,19,1,
Rafa Mir,Real Sociedad,5,Real Sociedad,5,1,
Rafa Mir,Real Madrid,2,Real Madrid,2,,1
Rafa Mir,SD Eibar,20,SD Eibar,20,1,
Rafa Mir,CA Osasuna,11,CA Osasuna,11,,
Rafa Mir,Sevilla FC,4,Sevilla FC,4,,
Rafa Mir,Granada CF,9,Granada CF,9,,
Rafa Mir,Alavés,16,Alavés,16,,
Rafa Mir,Athletic,10,Athletic,10,,
Rafa Mir,Levante,14,Levante,14,,
Rafa Mir,Celta de Vigo,8,Celta de Vigo,8,,
Rafa Mir,FC Barcelona,3,FC Barcelona,3,,
Rafa Mir,Real Betis,6,Real Betis,6,,
Rafa Mir,Getafe,15,Getafe,15,,
Rafa Mir,Villarreal,7,Villarreal,7,,
Rafa Mir,Real Valladolid,19,Real Valladolid,19,3,
Rafa Mir,Real Madrid,2,Real Madrid,2,,
Rafa Mir,Sevilla FC,4,Sevilla FC,4,,
Rafa Mir,Granada CF,9,Granada CF,9,,
Rafa Mir,SD Eibar,20,SD Eibar,20,,
Rafa Mir,Celta de Vigo,8,Celta de Vigo,8,1,
Rafa Mir,FC Barcelona,3,FC Barcelona,3,1,
Rafa Mir,CA Osasuna,11,CA Osasuna,11,,
Rafa Mir,Levante,14,Levante,14,2,
Rafa Mir,Elche CF,17,Elche CF,17,2,
Rafa Mir,Alavés,16,Alavés,16,,
Rafa Mir,Atlético Madrid,1,Atlético Madrid,1,,
Rafa Mir,Getafe,15,Getafe,15,,
Rafa Mir,Real Sociedad,5,Real Sociedad,5,,
Rafa Mir,Cádiz CF,12,Cádiz CF,12,1,
Rafa Mir,Athletic,10,Athletic,10,,
Rafa Mir,Real Betis,6,Real Betis,6,,
Rafa Mir,Valencia,13,Valencia,13,,
Marcos Llorente,Granada CF,9,Granada CF,9,1,1
Marcos Llorente,SD Huesca,18,SD Huesca,18,,
Marcos Llorente,Villarreal,7,Villarreal,7,,
Marcos Llorente,Celta de Vigo,8,Celta de Vigo,8,,
Marcos Llorente,Real Betis,6,Real Betis,6,1,
Marcos Llorente,CA Osasuna,11,CA Osasuna,11,,
Marcos Llorente,Cádiz CF,12,Cádiz CF,12,1,1
Marcos Llorente,FC Barcelona,3,FC Barcelona,3,,
Marcos Llorente,Valencia,13,Valencia,13,,
Marcos Llorente,Real Valladolid,19,Real Valladolid,19,1,
Marcos Llorente,Real Madrid,2,Real Madrid,2,,
Marcos Llorente,Elche CF,17,Elche CF,17,,
