match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
10,11/21/20,A,Antoine Griezmann,FC Barcelona,Atlético Madrid,1,1:0,,,83'
11,11/29/20,H,Antoine Griezmann,FC Barcelona,CA Osasuna,11,4:0,1,1,90'
12,12/5/20,A,Antoine Griezmann,FC Barcelona,Cádiz CF,12,2:1,,,90'
13,12/13/20,H,Antoine Griezmann,FC Barcelona,Levante,14,1:0,,,89'
19,12/16/20,H,Antoine Griezmann,FC Barcelona,Real Sociedad,5,2:1,,,65'
14,12/19/20,H,Antoine Griezmann,FC Barcelona,Valencia,13,2:2,,,73'
16,12/29/20,H,Antoine Griezmann,FC Barcelona,SD Eibar,20,1:1,,,66'
17,1/3/21,A,Antoine Griezmann,FC Barcelona,SD Huesca,18,0:1,,,9'
2,1/6/21,A,Antoine Griezmann,FC Barcelona,Athletic,10,2:3,,1,90'
18,1/9/21,A,Antoine Griezmann,FC Barcelona,Granada CF,9,0:4,2,1,90'
20,1/24/21,A,Antoine Griezmann,FC Barcelona,Elche CF,17,0:2,,,90'
21,1/31/21,H,Antoine Griezmann,FC Barcelona,Athletic,10,2:1,1,,84'
22,2/7/21,A,Antoine Griezmann,FC Barcelona,Real Betis,6,2:3,,,90'
23,2/13/21,H,Antoine Griezmann,FC Barcelona,Alavés,16,5:1,,2,81'
24,2/21/21,H,Antoine Griezmann,FC Barcelona,Cádiz CF,12,1:1,,,65'
1,2/24/21,H,Antoine Griezmann,FC Barcelona,Elche CF,17,3:0,,,14'
26,3/6/21,A,Antoine Griezmann,FC Barcelona,CA Osasuna,11,0:2,,,67'
27,3/15/21,H,Antoine Griezmann,FC Barcelona,SD Huesca,18,4:1,1,,69'
28,3/21/21,A,Antoine Griezmann,FC Barcelona,Real Sociedad,5,1:6,1,,85'
29,4/5/21,H,Antoine Griezmann,FC Barcelona,Real Valladolid,19,1:0,,,63'
30,4/10/21,A,Antoine Griezmann,FC Barcelona,Real Madrid,2,2:1,,,45'
31,4/22/21,H,Antoine Griezmann,FC Barcelona,Getafe,15,5:2,1,,90'
32,4/25/21,A,Antoine Griezmann,FC Barcelona,Villarreal,7,1:2,2,,80'
33,4/29/21,H,Antoine Griezmann,FC Barcelona,Granada CF,9,1:2,,1,90'
34,5/2/21,A,Antoine Griezmann,FC Barcelona,Valencia,13,2:3,1,,90'
35,5/8/21,H,Antoine Griezmann,FC Barcelona,Atlético Madrid,1,0:0,,,90'
