player,team,team_position,opponent,opponent_position,goals,assists
Lars Stindl,FC Schalke 04,18,FC Schalke 04,18,1,
Lars Stindl,SC Freiburg,10,SC Freiburg,10,,1
Lars Stindl,Hertha BSC,14,Hertha BSC,14,1,
Lars Stindl,FC Bayern,1,FC Bayern,1,,
Lars Stindl,VfB Stuttgart,9,VfB Stuttgart,9,1,
Lars Stindl,Werder Bremen,17,Werder Bremen,17,1,2
Thomas Müller,FC Schalke 04,18,FC Schalke 04,18,1,1
Thomas Müller,TSG Hoffenheim,11,TSG Hoffenheim,11,,1
Thomas Müller,Hertha BSC,14,Hertha BSC,14,,1
Thomas Müller,Arm. Bielefeld,15,Arm. Bielefeld,15,2,1
Thomas Müller,E. Frankfurt,5,E. Frankfurt,5,,
Thomas Müller,1. FC Köln,16,1. FC Köln,16,1,
Thomas Müller,Bor. Dortmund,3,Bor. Dortmund,3,,
Thomas Müller,Werder Bremen,17,Werder Bremen,17,,
Thomas Müller,VfB Stuttgart,9,VfB Stuttgart,9,,1
Thomas Müller,RB Leipzig,2,RB Leipzig,2,2,
Thomas Müller,Union Berlin,7,Union Berlin,7,,
Thomas Müller,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Thomas Müller,Bay. Leverkusen,6,Bay. Leverkusen,6,,1
Thomas Müller,1.FSV Mainz 05,12,1.FSV Mainz 05,12,,2
Thomas Müller,Bor. M'gladbach,8,Bor. M'gladbach,8,,
Thomas Müller,SC Freiburg,10,SC Freiburg,10,1,1
Thomas Müller,FC Augsburg,13,FC Augsburg,13,,
Thomas Müller,FC Schalke 04,18,FC Schalke 04,18,2,
Thomas Müller,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Thomas Müller,Hertha BSC,14,Hertha BSC,14,,1
Thomas Müller,1. FC Köln,16,1. FC Köln,16,,1
Thomas Müller,Bor. Dortmund,3,Bor. Dortmund,3,,
Thomas Müller,Werder Bremen,17,Werder Bremen,17,,2
Thomas Müller,VfB Stuttgart,9,VfB Stuttgart,9,,1
Thomas Müller,RB Leipzig,2,RB Leipzig,2,,1
Thomas Müller,Union Berlin,7,Union Berlin,7,,1
