league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Bundesliga,André Silva,Arm. Bielefeld_H_1,15,1:1,62',1:1,Header
Bundesliga,André Silva,Hertha BSC_A_1,2,1:3,30',0:1,Penalty
Bundesliga,André Silva,1. FC Köln_A_1,16,1:1,45'+2,0:1,Penalty
Bundesliga,André Silva,Werder Bremen_H_1,7,1:1,65',1:1,
Bundesliga,André Silva,VfB Stuttgart_A_1,8,2:2,61',2:1,Right-footed shot
Bundesliga,André Silva,Union Berlin_A_1,5,3:3,27',2:1,Left-footed shot
Bundesliga,André Silva,Bor. M'gladbach_H_1,8,3:3,22',1:1,Penalty
Bundesliga,André Silva,1.FSV Mainz 05_A_1,17,0:2,24',0:1,Penalty
Bundesliga,André Silva,FC Schalke 04_H_1,17,3:1,28',1:0,Right-footed shot
Bundesliga,André Silva,Arm. Bielefeld_A_1,15,1:5,25',0:1,Left-footed shot
Bundesliga,André Silva,Hertha BSC_H_1,14,3:1,67',1:1,Header
Bundesliga,André Silva,TSG Hoffenheim_A_1,12,1:3,64',1:3,Header
Bundesliga,André Silva,1. FC Köln_H_1,14,2:0,57',1:0,Right-footed shot
Bundesliga,André Silva,Werder Bremen_A_1,12,2:1,9',0:1,Header
Bundesliga,André Silva,Union Berlin_H_1,7,5:2,2',1:0,Right-footed shot
Bundesliga,André Silva,Bor. Dortmund_A_1,5,1:2,87',1:2,Header
Bundesliga,André Silva,VfL Wolfsburg_H_1,3,4:3,54',3:2,Right-footed shot
Bundesliga,André Silva,FC Augsburg_H_1,11,2:0,58',2:0,Header
Bundesliga,André Silva,Bay. Leverkusen_A_1,6,3:1,90'+1,2:1,Header
Bundesliga,André Silva,FC Schalke 04_A_1,18,4:3,29',1:1,Header
Bundesliga,André Silva,SC Freiburg_H_1,10,3:1,62',1:0,Penalty
Bundesliga,Erling Haaland,Bor. M'gladbach_H_1,8,3:0,54',2:0,Penalty
Bundesliga,Erling Haaland,SC Freiburg_H_1,5,4:0,31',1:0,Left-footed shot
Bundesliga,Erling Haaland,FC Schalke 04_H_1,17,3:0,61',2:0,Right-footed shot
Bundesliga,Erling Haaland,FC Bayern_H_1,1,2:3,83',2:3,Left-footed shot
Bundesliga,Erling Haaland,Hertha BSC_A_1,12,2:5,47',1:1,Left-footed shot
Bundesliga,Erling Haaland,RB Leipzig_A_1,2,1:3,71',0:2,Header
Bundesliga,Erling Haaland,Bor. M'gladbach_A_1,7,4:2,22',1:1,Left-footed shot
Bundesliga,Erling Haaland,TSG Hoffenheim_H_1,12,2:2,81',2:2,Left-footed shot
Bundesliga,Erling Haaland,FC Schalke 04_A_1,18,0:4,45',0:2,Left-footed shot
Bundesliga,Erling Haaland,FC Bayern_A_1,1,4:2,2',0:1,Left-footed shot
Bundesliga,Erling Haaland,1. FC Köln_A_1,14,2:2,3',0:1,Left-footed shot
Bundesliga,Erling Haaland,Werder Bremen_H_1,13,4:1,34',2:1,Penalty
Bundesliga,Erling Haaland,VfL Wolfsburg_A_1,3,0:2,12',0:1,Left-footed shot
Bundesliga,Erling Haaland,Bay. Leverkusen_H_1,6,3:1,5',1:0,Left-footed shot
Bundesliga,Wout Weghorst,Bor. M'gladbach_A_1,11,1:1,85',1:1,Right-footed shot
Bundesliga,Wout Weghorst,Arm. Bielefeld_H_1,14,2:1,19',1:0,Right-footed shot
Bundesliga,Wout Weghorst,TSG Hoffenheim_H_1,12,2:1,26',2:0,Right-footed shot
Bundesliga,Wout Weghorst,FC Schalke 04_A_1,17,0:2,3',0:1,Header
Bundesliga,Wout Weghorst,Werder Bremen_H_1,9,5:3,37',3:2,Right-footed shot
Bundesliga,Wout Weghorst,1. FC Köln_A_1,15,2:2,47',2:2,Header
Bundesliga,Wout Weghorst,E. Frankfurt_H_1,9,2:1,76',1:1,Penalty
Bundesliga,Wout Weghorst,Union Berlin_A_1,5,2:2,65',2:2,Penalty
Bundesliga,Wout Weghorst,RB Leipzig_H_1,2,2:2,22',1:1,Header
Bundesliga,Wout Weghorst,1.FSV Mainz 05_A_1,17,0:2,79',0:2,Right-footed shot
Bundesliga,Wout Weghorst,SC Freiburg_H_1,9,3:0,39',2:0,Right-footed shot
Bundesliga,Wout Weghorst,FC Augsburg_A_1,13,0:2,38',0:1,Right-footed shot
Bundesliga,Wout Weghorst,TSG Hoffenheim_A_1,12,2:1,23',1:1,Right-footed shot
Bundesliga,Wout Weghorst,FC Schalke 04_H_1,18,5:0,51',2:0,Left-footed shot
Bundesliga,Wout Weghorst,Werder Bremen_A_1,12,1:2,42',0:2,Right-footed shot
Bundesliga,Wout Weghorst,E. Frankfurt_A_1,4,4:3,46',2:2,Right-footed shot
Bundesliga,Wout Weghorst,FC Bayern_H_1,1,2:3,35',1:2,Right-footed shot
Bundesliga,Wout Weghorst,VfB Stuttgart_A_1,10,1:3,29',0:2,Header
Bundesliga,Andrej Kramaric,1. FC Köln_A_1,16,2:3,3',0:1,Right-footed shot
Bundesliga,Andrej Kramaric,FC Bayern_H_1,1,4:1,77',3:1,Right-footed shot
Bundesliga,Andrej Kramaric,E. Frankfurt_A_1,4,2:1,18',0:1,Left-footed shot
Bundesliga,Andrej Kramaric,VfB Stuttgart_H_1,8,3:3,71',3:2,Penalty
Bundesliga,Andrej Kramaric,Bor. M'gladbach_A_1,8,1:2,75',1:1,Counter attack goal
Bundesliga,Andrej Kramaric,Hertha BSC_A_1,13,0:3,68',0:2,Right-footed shot
Bundesliga,Andrej Kramaric,1. FC Köln_H_1,16,3:0,7',1:0,Penalty
Bundesliga,Andrej Kramaric,FC Bayern_A_1,1,4:1,44',2:1,Left-footed shot
Bundesliga,Andrej Kramaric,VfL Wolfsburg_H_1,3,2:1,41',2:1,Right-footed shot
Bundesliga,Andrej Kramaric,Bor. M'gladbach_H_1,7,3:2,48',1:2,Right-footed shot
Bundesliga,Andrej Kramaric,SC Freiburg_A_1,9,1:1,40',0:1,Header
Bundesliga,Andrej Kramaric,FC Schalke 04_H_1,18,4:2,47',1:2,Direct free kick
Bundesliga,Andrej Kramaric,Arm. Bielefeld_A_1,16,1:1,5',0:1,Left-footed shot
Bundesliga,Andrej Kramaric,Hertha BSC_H_1,14,2:1,90'+1,2:1,Right-footed shot
Bundesliga,Sasa Kalajdzic,SC Freiburg_H_1,10,2:3,71',1:3,Left-footed shot
Bundesliga,Sasa Kalajdzic,1.FSV Mainz 05_A_1,15,1:4,86',1:4,Right-footed shot
Bundesliga,Sasa Kalajdzic,Bay. Leverkusen_H_1,12,1:1,76',1:1,Header
Bundesliga,Sasa Kalajdzic,Union Berlin_H_1,6,2:2,85',1:2,Header
Bundesliga,Sasa Kalajdzic,1.FSV Mainz 05_H_1,17,2:0,55',1:0,Header
Bundesliga,Sasa Kalajdzic,Bay. Leverkusen_A_1,5,5:2,50',2:1,Right-footed shot
Bundesliga,Sasa Kalajdzic,Hertha BSC_H_1,15,1:1,45'+1,1:0,Header
Bundesliga,Sasa Kalajdzic,1. FC Köln_A_1,14,0:1,49',0:1,Header
Bundesliga,Sasa Kalajdzic,FC Schalke 04_H_1,18,5:1,34',3:0,Header
Bundesliga,Sasa Kalajdzic,E. Frankfurt_A_1,4,1:1,67',0:1,Right-footed shot
Bundesliga,Sasa Kalajdzic,TSG Hoffenheim_H_1,11,2:0,64',2:0,Left-footed shot
Bundesliga,Sasa Kalajdzic,Bor. Dortmund_H_1,5,2:3,17',1:0,Header
Bundesliga,Sasa Kalajdzic,FC Augsburg_H_1,14,2:1,74',2:1,Header
Bundesliga,Sasa Kalajdzic,Bor. M'gladbach_A_1,7,1:2,78',1:2,Right-footed shot
Bundesliga,Lars Stindl,1. FC Köln_A_1,16,1:3,56',0:3,Penalty
Bundesliga,Lars Stindl,1.FSV Mainz 05_A_1,18,2:3,15',0:1,Left-footed shot
Bundesliga,Lars Stindl,Bay. Leverkusen_A_1,4,4:3,18',0:1,Penalty
Bundesliga,Lars Stindl,E. Frankfurt_A_1,9,3:3,14',0:1,Direct free kick
Bundesliga,Lars Stindl,TSG Hoffenheim_H_1,13,1:2,34',1:0,Penalty
Bundesliga,Lars Stindl,VfB Stuttgart_A_1,10,2:2,35',0:1,Penalty
Bundesliga,Lars Stindl,1.FSV Mainz 05_H_1,17,1:2,26',1:1,Right-footed shot
Bundesliga,Lars Stindl,FC Schalke 04_A_1,18,0:3,15',0:1,Right-footed shot
Bundesliga,Lars Stindl,Hertha BSC_A_1,14,2:2,38',1:2,Penalty
Bundesliga,Lars Stindl,VfB Stuttgart_H_1,10,1:2,45',1:0,Right-footed shot
Bundesliga,Lars Stindl,Werder Bremen_A_1,16,2:4,3',0:1,Right-footed shot
Bundesliga,Thomas Müller,FC Schalke 04_H_1,18,8:0,69',6:0,Left-footed shot
Bundesliga,Thomas Müller,Arm. Bielefeld_A_1,10,1:4,8',0:1,Right-footed shot
Bundesliga,Thomas Müller,1. FC Köln_A_1,16,1:2,13',0:1,Penalty
Bundesliga,Thomas Müller,RB Leipzig_H_1,2,3:3,34',2:1,Left-footed shot
Bundesliga,Thomas Müller,SC Freiburg_H_1,8,2:1,74',2:1,Right-footed shot
Bundesliga,Thomas Müller,FC Schalke 04_A_1,18,0:4,33',0:1,Header
Bundesliga,Thomas Müller,TSG Hoffenheim_H_1,11,4:1,43',2:0,Left-footed shot
Bundesliga,Thomas Müller,Bor. M'gladbach_H_1,7,6:0,23',2:0,Left-footed shot
Bundesliga,Silas Katompa Mvumpa,SC Freiburg_H_1,10,2:3,81',2:3,Left-footed shot
Bundesliga,Silas Katompa Mvumpa,1.FSV Mainz 05_A_1,15,1:4,45',1:1,Counter attack goal
Bundesliga,Silas Katompa Mvumpa,TSG Hoffenheim_A_1,13,3:3,27',1:2,Right-footed shot
Bundesliga,Silas Katompa Mvumpa,Werder Bremen_A_1,11,1:2,30',0:1,Penalty
Bundesliga,Silas Katompa Mvumpa,Bor. Dortmund_A_1,4,1:5,27',0:1,Penalty
Bundesliga,Silas Katompa Mvumpa,FC Augsburg_A_1,10,1:4,29',0:2,Right-footed shot
Bundesliga,Silas Katompa Mvumpa,Bor. M'gladbach_H_1,7,2:2,90'+6,2:2,Penalty
Bundesliga,Silas Katompa Mvumpa,SC Freiburg_A_1,9,2:1,7',0:1,Right-footed shot
Bundesliga,Silas Katompa Mvumpa,1.FSV Mainz 05_H_1,17,2:0,72',2:0,Right-footed shot
