player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
Theo Walcott,4.0,2.0,2.0,761,11,190.2,2.8,380.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Timothy Castagne,4.0,2.0,2.0,1170,13,292.5,3.2,585.0,6.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tyrone Mings,4.0,2.0,2.0,1485,17,371.2,4.2,742.5,8.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Mitrovic,4.0,1.0,3.0,935,14,233.8,3.5,935.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bernardo Silva,4.0,1.0,3.0,1246,15,311.5,3.8,1246.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,4.0,1.0,3.0,652,12,163.0,3.0,652.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
John McGinn,4.0,1.0,3.0,1530,17,382.5,4.2,1530.0,5.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Marc Albrighton,4.0,1.0,3.0,738,16,184.5,4.0,738.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pierre-Emile Höjbjerg,4.0,1.0,3.0,1800,20,450.0,5.0,1800.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Youri Tielemans,4.0,1.0,3.0,1741,20,435.2,5.0,1741.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Billy Sharp,3.0,3.0,0.0,388,7,129.3,2.3,129.3,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Diogo Jota,3.0,3.0,0.0,680,10,226.7,3.3,226.7,inf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Joe Willock,3.0,3.0,0.0,724,11,241.3,3.7,241.3,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
