player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Jan Bednarek,1.0,1.0,0.0,1076,12,1076.0,12.0,1076.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Vestergaard,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrod Bowen,1.0,1.0,0.0,900,12,900.0,12.0,900.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joe Bryan,1.0,1.0,0.0,300,7,300.0,7.0,300.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,1.0,1.0,0.0,506,7,506.0,7.0,506.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Josh Maja,1.0,1.0,0.0,315,4,315.0,4.0,315.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kean Bryan,1.0,1.0,0.0,234,4,234.0,4.0,234.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,1.0,1.0,0.0,381,8,381.0,8.0,381.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Bartley,1.0,1.0,0.0,789,10,789.0,10.0,789.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Liam Cooper,1.0,1.0,0.0,477,6,477.0,6.0,477.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Shaw,1.0,1.0,0.0,900,10,900.0,10.0,900.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,1.0,1.0,0.0,315,4,315.0,4.0,315.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Manuel Lanzini,1.0,1.0,0.0,79,5,79.0,5.0,79.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
