player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Deflected shot on goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Solo run,Tap-in
Rúben Neves,6.0,5.0,1.0,2680,36,446.7,6.0,536.0,36.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Christian Pulisic,6.0,4.0,2.0,1737,27,289.5,4.5,434.2,13.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Joelinton,6.0,4.0,2.0,1987,31,331.2,5.2,496.8,15.5,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Aleksandar Mitrovic,6.0,3.0,3.0,1390,27,231.7,4.5,463.3,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Ashley Westwood,6.0,3.0,3.0,3411,38,568.5,6.3,1137.0,12.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Hélder Costa,6.0,3.0,3.0,1156,22,192.7,3.7,385.3,7.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Theo Walcott,6.0,3.0,3.0,1641,22,273.5,3.7,547.0,7.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Aaron Wan-Bissaka,6.0,2.0,4.0,3060,34,510.0,5.7,1530.0,8.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Emile Smith Rowe,6.0,2.0,4.0,1449,20,241.5,3.3,724.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre-Emile Höjbjerg,6.0,2.0,4.0,3420,38,570.0,6.3,1710.0,9.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Andros Townsend,6.0,1.0,5.0,2259,34,376.5,5.7,2259.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luke Shaw,6.0,1.0,5.0,2655,32,442.5,5.3,2655.0,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Albrighton,6.0,1.0,5.0,1742,31,290.3,5.2,1742.0,6.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Willian,6.0,1.0,5.0,1407,25,234.5,4.2,1407.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Robinson,5.0,5.0,0.0,1563,28,312.6,5.6,312.6,inf,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Kurt Zouma,5.0,5.0,0.0,2027,24,405.4,4.8,405.4,inf,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lewis Dunk,5.0,5.0,0.0,2933,33,586.6,6.6,586.6,inf,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Miguel Almirón,5.0,4.0,1.0,2439,34,487.8,6.8,609.8,34.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott McTominay,5.0,4.0,1.0,2128,32,425.6,6.4,532.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Sergio Agüero,5.0,4.0,1.0,558,12,111.6,2.4,139.5,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Daniel Podence,5.0,3.0,2.0,1677,24,335.4,4.8,559.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
